Year,Coal_GWh,NaturalGas_GWh,Hydro_GWh,Solar_GWh,OtherRenewable_GWh,Total_GWh,PerCapita_kWh,CO2_Intensity_gCO2perKWh
2000,29850,40210,12340,0,320,82720,3440,612
2001,31200,42100,11800,0,340,85440,3510,621
2002,33500,44800,12900,0,360,91560,3710,618
2003,36100,47200,13100,5,390,96795,3870,619
2004,39200,50100,13800,12,420,103532,4080,622
2005,42300,53400,14200,25,450,110375,4290,625
2006,45600,55800,14900,48,480,116828,4480,627
2007,48900,58200,15400,85,520,123105,4660,628
2008,51200,59800,15100,140,560,126800,4730,630
2009,48700,57200,15800,220,590,122510,4510,624
2010,53400,61500,16200,380,640,132120,4810,626
2011,57800,63200,16900,620,690,139210,5010,629
2012,61300,65100,17400,980,750,145530,5180,631
2013,64500,66800,17800,1450,820,151370,5320,628
2014,67200,67400,18200,2100,890,155790,5420,625
2015,68900,66200,18700,3200,980,157980,5440,622
2016,70100,65800,19100,4800,1080,160880,5490,618
2017,71500,65200,19600,7200,1200,164700,5570,612
2018,72800,64800,20100,10500,1380,169580,5680,605
2019,73100,64200,20400,14800,1520,174020,5780,597
2020,68500,61800,21200,19200,1680,172380,5640,581
2021,72300,63500,21800,25400,1900,184900,5980,574
2022,74100,64800,22100,33600,2150,196750,6320,563
2023,73500,65200,22800,44500,2480,208480,6640,548
